SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532538,ULTRATECH CM,A ,Q,4322.15,4368.60,4311.00,4361.10,4360.00,4310.45,1507,10159,44245597.00,
532539,MINDA IND   ,B ,Q,1200.00,1251.00,1180.00,1234.20,1244.00,1180.00,976,14920,18182236.00,
532540,TCS LTD.    ,A ,Q,2570.00,2597.40,2567.50,2575.05,2575.05,2577.00,1742,26441,68364632.00,
532541,NIITTECH    ,A ,Q,622.50,628.30,619.40,622.95,624.90,616.80,583,11074,6914723.00,
532543,GULFPETRO   ,B ,Q,81.70,82.50,79.00,80.10,80.10,81.55,277,33154,2650042.00,
532548,CENTURYPLY  ,B ,Q,336.10,341.00,334.25,335.80,335.80,334.60,608,22848,7691661.00,
532553,WELENT      ,B ,Q,161.75,167.35,161.00,166.40,166.40,160.45,2569,334579,55322908.00,
532555,NTPC LTD    ,A ,Q,177.90,180.50,176.95,180.10,180.10,177.10,1283,653167,116451307.00,
532604,SALSTEEL    ,T ,Q,5.91,6.04,5.80,5.84,5.80,6.02,59,14037,82324.00,
532605,JBM AUTO    ,B ,Q,517.00,517.00,500.00,503.60,505.50,502.15,693,18324,9299826.00,
532609,BHARATIDIL  ,Z ,Q,4.88,5.38,4.88,5.38,5.38,5.13,211,342376,1696320.00,
532610,DWAR SUGAR  ,B ,Q,51.10,54.60,50.85,52.90,52.90,51.05,5131,840819,44282125.00,
532612,INDOCO REM  ,B ,Q,272.25,295.65,270.95,290.25,290.25,275.70,948,29040,8400893.00,
532613,VIPCLOTHNG  ,B ,Q,62.55,72.00,62.55,69.10,69.10,61.90,4799,532556,36893022.00,
532616,XCHANGING   ,B ,Q,60.80,61.60,60.00,60.95,60.80,61.90,53,8222,497825.00,
532617,JETAIRWAYS  ,A ,Q,698.50,722.50,696.05,719.40,719.40,693.35,5372,352144,251102567.00,
532621,MORARJETEX  ,B ,Q,47.15,53.40,47.15,52.05,52.05,47.80,537,80343,4169885.00,
532622,GATEWAY DIST,A ,Q,242.00,242.80,238.95,239.95,240.00,238.95,154,5571,1338401.00,
532624,JINDALPH    ,T ,Q,75.00,75.00,74.55,74.60,74.60,75.25,4,187,13980.00,
532626,PONDY OXIDES,X ,Q,629.00,629.00,618.00,619.55,620.00,622.00,231,7621,4737293.00,
532627,JPPOWER     ,B ,Q,6.85,7.05,6.79,6.89,6.89,6.83,5277,648767,4473201.00,
532628,3I INFOTECH ,B ,Q,4.66,4.66,4.46,4.57,4.57,4.62,478,901489,4128880.00,
532629,MCNALLYB    ,T ,Q,58.00,59.95,57.50,59.05,59.05,59.00,25,5875,341943.00,
532630,GOKALDAS    ,B ,Q,117.25,118.00,115.10,117.35,117.35,112.20,716,49494,5791286.00,
532633,ALLSEC TECH ,B ,Q,440.05,444.65,436.00,443.00,443.05,431.80,31,50852,22551266.00,
532636,IIFL        ,A ,Q,611.05,611.20,595.25,600.20,600.00,609.10,186,3794,2282205.00,
532637,MAN DRUGORG ,B ,Q,177.25,178.95,175.60,176.05,177.00,175.20,324,16904,2989437.00,
532638,SHOPPER STOP,B ,Q,535.35,574.70,535.05,571.25,571.25,539.30,679,8345,4727215.00,
532640,CYBER MEDIA ,T ,Q,15.00,15.00,14.20,15.00,15.00,14.58,12,10316,151877.00,
532641,NDL         ,B ,Q,161.10,162.55,159.00,160.15,159.65,161.10,170,10699,1718720.00,
532642,JSWHL       ,B ,Q,1814.85,1822.00,1780.15,1792.70,1781.10,1792.75,49,295,531013.00,
532643,GANESHFORGIN,T ,Q,1.18,1.18,1.18,1.18,1.18,1.13,1,200,236.00,
532644,JK CEMENT   ,B ,Q,1086.70,1086.70,1061.20,1071.20,1070.00,1061.00,179,26754,28629009.00,
532646,UNIPLY IND  ,B ,Q,448.05,450.35,441.00,441.80,441.80,437.20,56,1119,497923.00,
532647,PROVOGUE IND,B ,Q,9.68,9.78,8.98,9.07,9.07,9.95,456,352531,3264837.00,
532648,YES BANK    ,A ,Q,312.05,315.80,309.85,312.40,312.40,312.15,2804,419460,130883408.00,
532649,NECTAR LIFE ,B ,Q,33.55,34.00,32.95,33.65,33.65,32.75,638,193792,6502629.00,
532650,MSP STEEL   ,T ,Q,19.45,19.45,18.05,19.45,19.45,18.55,22,36330,705893.00,
532651,SPL INDS    ,B ,Q,23.10,23.75,22.65,23.15,23.20,23.55,48,3821,87869.00,
532652,KARNATAKA BK,A ,Q,148.80,150.70,148.80,149.95,149.95,148.35,579,102230,15313578.00,
532654,MCLEOD RUSSE,A ,Q,201.00,206.25,201.00,203.30,203.30,200.50,710,74147,15114410.00,
532656,FACOR ALLOYS,XT,Q,3.00,3.14,2.99,3.07,3.00,3.02,243,539549,1639190.00,
532658,EON ELECT   ,T ,Q,116.80,118.00,112.05,114.10,113.25,115.20,77,7479,860568.00,
532659,IDFC        ,A ,Q,58.00,58.95,58.00,58.60,58.60,58.15,1007,331488,19405296.00,
532660,VIVIMED LABS,B ,Q,106.25,107.65,100.55,101.40,101.40,105.85,2251,309182,31995080.00,
532661,RANE MADRAS ,B ,Q,773.25,773.25,754.90,761.80,759.95,762.55,56,636,484249.00,
532662,HT MEDIA    ,B ,Q,97.45,98.40,96.30,96.90,96.90,96.80,384,13321,1298067.00,
532663,SASKEN      ,B ,Q,669.10,698.90,669.10,685.70,684.50,665.50,334,3560,2450852.00,
